Status,Opportunity,Billing Request: Billing Request Identifier,Billing Request: Created By,Billing Request: Created Date,Billing Request: Last Modified Date,Purpose of Request,Billing Request: ID,Defect Reason Codes,Months of Service,Defect Root Cause
Complete,NASCAR P&Q 2025,Billing Request- 00100000,Kevin Parker,1/13/2025,4/18/2025,Invoice Revision: Missed Billing,a6JXt2458591,Late Billing Submission,Feb,Client requested retroactive billing adjustments.
Complete,Confluence Academy 2024,Billing Request- 00100001,Angelica Herrera Calvo,4/29/2024,7/3/2024,Invoice Revision: Missed Billing,a6JXt8038374,Late Billing Submission,Sep,Client requested retroactive billing adjustments.
Complete,NASCAR Apex 2025 2026,Billing Request- 00100002,Connor Mora,2/10/2026,5/6/2026,Invoice Copy,a6JHn2714803,Late Billing Submission,Apr,Invoice details mismatch with approved campaign.
Remove/Inactive,NWSL Halftime Sponsorship 2026,Billing Request- 00100003,Kevin Parker,3/9/2026,5/9/2026,Invoice Revision: Credit/Rebill,a6JXt5918715,,Dec,Manual billing entry issue.
Remove/Inactive,NBA League Pass 2025,Billing Request- 00100004,Elena Salazar Castillo,1/24/2025,4/19/2025,Invoice Revision: Missed Billing,a6Jat7377459,Late Billing Submission,Dec,Agency submitted updated invoice mapping.
Blocked,DirecTV NASCAR Campaign 2025,Billing Request- 00100005,Sofia Morales,4/18/2025,7/13/2025,Invoice Revision: Missed Billing,a6JXt3871230,Agency Revision Request,Aug,Agency submitted updated invoice mapping.
Complete,Retail Media Expansion 2025,Billing Request- 00100006,Gabo Munoz,5/19/2025,9/15/2025,Invoice Revision: Missed Billing,a6Jat4842788,,Nov,Missing supporting documentation from vendor.
Complete,Global Consumer Products 2024,Billing Request- 00100007,Tyler Ward,4/18/2024,8/13/2024,Invoice Revision: Credit/Rebill,a6JXt8698256,Incorrect Invoice Amount,May,Manual billing entry issue.
Ready for Work,Streaming Bundle Initiative 2025,Billing Request- 00100008,Sofia Morales,10/3/2025,11/6/2025,Invoice Revision: Credit/Rebill,a6Jat3320821,Late Billing Submission,Mar,Client requested retroactive billing adjustments.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00100009,Sofia Morales,2/9/2026,5/1/2026,Invoice Revision: Credit/Rebill,a6JXt8852574,Incorrect Invoice Amount,Nov; Dec,Client requested retroactive billing adjustments.
Complete,Global Consumer Products 2025,Billing Request- 00100010,Tyler Ward,2/28/2025,5/27/2025,Invoice Revision: Credit/Rebill,a6JHn8294150,Late Billing Submission,Jan,Late media plan changes from client.
Waiting on Someone Else,TNF Sponsorship 2026,Billing Request- 00100011,Laura Jenkins,2/15/2026,4/21/2026,Invoice Revision: Credit/Rebill,a6Jat3564217,,Jun,
Complete,NASCAR Apex 2025 2026,Billing Request- 00100012,Gabo Munoz,1/1/2026,3/19/2026,Invoice Copy,a6JHn5017343,Missing Backup Documentation,Mar,Incorrect legal terms delayed PTS.
Complete,Retail Media Expansion 2025,Billing Request- 00100013,Elena Salazar Castillo,2/5/2025,5/14/2025,Invoice Revision: Credit/Rebill,a6JXt3770370,PO / IO Mismatch,Mar; Apr,Manual billing entry issue.
Complete,NWSL Prime Video 2026,Billing Request- 00100014,Angelica Herrera Calvo,2/21/2026,5/7/2026,Invoice Revision: Credit/Rebill,a6Jat5159166,Other Invoice Details,Nov,Client requested retroactive billing adjustments.
Complete,WNBA Incremental Scatter 2025,Billing Request- 00100015,Gabo Munoz,4/28/2025,7/13/2025,Invoice Revision: Missed Billing,a6Jat2130789,,Nov,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100016,Angelica Herrera Calvo,5/23/2025,8/17/2025,Invoice Revision: Missed Billing,a6JXt8930103,,Jul; Aug,Missing supporting documentation from vendor.
Complete,NWSL Prime Video 2024,Billing Request- 00100017,Connor Mora,2/19/2024,5/14/2024,Invoice Revision: Credit/Rebill,a6JXt1908841,Other Invoice Details,Jan; Feb,Invoice details mismatch with approved campaign.
Complete,NBA Playoffs Campaign 2026,Billing Request- 00100018,Andrew Rivera,1/28/2026,3/1/2026,Invoice Revision: Credit/Rebill,a6Jat5673212,Missing Backup Documentation,Mar,Finance validation process delay.
Remove/Inactive,Confluence Academy 2026,Billing Request- 00100019,Melissa Grant,1/26/2026,2/2/2026,Invoice Copy,a6Jat3790237,Late Billing Submission,Jul; Aug,Manual billing entry issue.
Remove/Inactive,NWSL Halftime Sponsorship 2026,Billing Request- 00100020,Melissa Grant,1/16/2026,2/7/2026,Invoice Revision: Credit/Rebill,a6JHn5785687,Agency Revision Request,Nov; Dec,Finance validation process delay.
Complete,Amazon TNF 2024 2024,Billing Request- 00100021,Sofia Morales,5/31/2024,6/28/2024,Invoice Revision: Credit/Rebill,a6JXt8999183,,Sep; Oct,Agency submitted updated invoice mapping.
Complete,WNBA Incremental Scatter 2024,Billing Request- 00100022,Connor Mora,9/17/2024,9/28/2024,Invoice Revision: Missed Billing,a6Jat7774229,PO / IO Mismatch,Aug,Client requested retroactive billing adjustments.
Blocked,Global Consumer Products 2025,Billing Request- 00100023,Angelica Herrera Calvo,8/3/2025,10/27/2025,Invoice Revision: Credit/Rebill,a6JXt6271130,Incorrect Invoice Amount,Jan; Feb,Agency submitted updated invoice mapping.
Complete,NASCAR P&Q 2025,Billing Request- 00100024,Connor Mora,6/3/2025,8/1/2025,Invoice Revision: Missed Billing,a6JXt2677407,PO / IO Mismatch,Jul,
Complete,NFL Prime Video 2024,Billing Request- 00100025,Kevin Parker,6/27/2024,10/18/2024,Invoice Revision: Credit/Rebill,a6JXt6075395,,Sep; Oct,Client requested retroactive billing adjustments.
